CustomerID,Age,Income,SpendingScore,Gender,EducationLevel,FamilySize,MaritalStatus,TotalSpend,AvgOrderValue,Frequency,Recency,Tenure,WebVisitsPerMonth,Wines,Fruits,Meat,Fish,Sweets,Gold,WebPurchases,CatalogPurchases,StorePurchases,DealsPurchased,CampaignsAccepted,Complains,_TrueSegment
1,50,21630,16,0,4,2,1,339,152.43,2,77,10,1,8,4,26,10,0,8,2,0,1,2,1,0,Conservative Minimizers
2,41,77786,33,0,3,4,0,343,56.31,7,81,12,1,475,8,352,2,21,100,3,1,2,3,0,0,Affluent Conservatives
3,22,26212,71,1,3,2,1,1644,90.87,19,16,1,15,61,0,56,14,17,3,5,2,5,2,0,0,Budget-Conscious Explorers
4,24,87957,64,1,3,1,1,1691,71.7,24,11,4,8,705,200,378,1,10,99,6,4,13,4,3,0,High-Value Trendsetters
5,25,30208,79,1,3,4,1,1751,61.99,26,2,0,12,36,86,36,2,7,9,8,3,9,3,0,0,Budget-Conscious Explorers
6,31,28946,76,0,3,4,1,1471,61.09,19,24,1,12,27,17,39,23,34,8,10,4,10,2,1,0,Budget-Conscious Explorers
7,26,88665,86,0,3,2,1,1643,78.29,28,11,9,8,812,7,309,30,149,111,7,7,9,1,0,0,High-Value Trendsetters
8,49,25563,21,0,3,2,1,400,72.94,5,90,9,2,15,4,11,3,6,4,2,1,0,1,0,0,Conservative Minimizers
9,50,84102,11,1,2,6,0,365,83.95,7,62,5,3,385,12,269,0,17,78,2,0,3,2,1,0,Affluent Conservatives
10,25,22194,70,0,2,3,0,1533,90.1,27,23,2,10,72,34,36,59,11,13,4,3,11,1,0,0,Budget-Conscious Explorers
11,36,79702,11,0,4,3,1,391,71.07,5,55,10,1,623,18,318,6,8,108,3,2,3,3,3,0,Affluent Conservatives
12,41,26316,86,1,4,1,0,1469,93.48,16,21,3,11,33,200,44,18,1,10,9,4,8,2,1,0,Budget-Conscious Explorers
13,26,23273,71,1,4,2,1,1677,83.48,29,32,3,12,24,65,5,42,6,12,7,2,6,2,1,0,Budget-Conscious Explorers
14,43,78239,92,1,1,1,0,1617,64.02,16,0,0,10,864,96,326,42,21,105,6,3,12,1,4,0,High-Value Trendsetters
15,54,96254,25,1,2,1,1,309,68.52,6,42,9,3,479,4,299,15,6,64,0,1,3,2,1,0,Affluent Conservatives
16,44,96826,24,1,2,4,0,281,38.98,5,54,7,1,426,71,439,25,7,77,0,0,1,0,1,0,Affluent Conservatives
17,25,74044,64,0,3,2,0,1663,68.03,18,21,6,10,565,57,376,90,17,106,6,2,8,1,4,0,High-Value Trendsetters
18,42,73033,24,1,4,4,0,396,96.14,4,72,8,3,277,4,383,2,2,101,7,0,3,2,1,0,Affluent Conservatives
19,50,15112,15,0,3,1,0,465,157.19,2,67,10,1,19,25,33,3,6,3,1,0,3,4,0,0,Conservative Minimizers
20,50,31107,20,1,3,1,0,370,284.46,7,67,8,1,15,4,11,8,2,6,2,0,1,0,0,1,Conservative Minimizers
21,31,92243,84,0,4,6,1,1625,85.85,20,14,4,9,880,92,387,63,35,129,6,0,8,1,2,0,High-Value Trendsetters
22,26,12000,14,1,2,2,0,392,59.93,3,71,8,3,7,19,7,8,7,1,3,1,2,5,0,0,Conservative Minimizers
23,41,21960,27,1,4,2,0,447,70.44,3,87,9,1,8,4,9,30,13,6,1,2,3,1,0,0,Conservative Minimizers
24,22,35995,75,0,5,2,0,1633,119.87,16,33,2,8,53,176,73,10,58,12,4,4,8,1,0,0,Budget-Conscious Explorers
25,41,30303,18,0,3,4,1,350,318.44,4,87,4,2,16,26,33,13,5,3,2,1,3,3,0,0,Conservative Minimizers
26,40,83384,22,0,4,1,1,364,128.24,6,50,7,5,111,8,311,1,4,42,2,1,4,2,3,0,Affluent Conservatives
27,29,22351,91,1,3,3,0,1600,121.41,16,35,2,12,60,96,23,58,25,6,11,1,4,1,2,0,Budget-Conscious Explorers
28,39,87226,72,1,3,1,0,1607,61.89,23,16,5,9,526,48,573,9,27,99,8,6,17,3,3,0,High-Value Trendsetters
29,29,90385,76,1,2,2,1,1697,85.45,15,14,4,3,912,67,356,17,37,132,5,4,10,0,3,0,High-Value Trendsetters
30,40,83393,30,0,5,2,1,308,31.83,8,82,7,2,620,8,274,3,2,89,3,2,7,5,2,0,Affluent Conservatives
31,29,80701,82,1,4,3,0,1600,58.63,25,19,2,9,599,5,280,30,13,39,10,5,9,1,1,0,High-Value Trendsetters
32,40,85511,87,0,2,2,1,1517,77.64,25,17,9,8,823,56,326,0,68,99,8,4,5,1,4,0,High-Value Trendsetters
33,36,92657,74,1,5,1,0,1602,76.16,25,5,4,6,588,83,359,39,1,40,3,3,12,3,3,0,High-Value Trendsetters
34,30,73054,88,0,1,2,0,1689,65.61,20,10,4,8,523,37,481,12,17,55,15,5,14,0,3,0,High-Value Trendsetters
35,24,26424,72,0,2,1,1,1629,101.21,19,14,3,14,72,47,57,4,70,10,4,4,10,3,1,0,Budget-Conscious Explorers
36,32,84819,96,0,4,5,1,1647,64.97,27,10,5,10,584,30,474,87,1,90,7,4,10,3,4,0,High-Value Trendsetters
37,48,19346,11,0,3,2,1,339,96.25,2,67,4,1,0,5,40,2,5,4,3,1,1,2,1,0,Conservative Minimizers
38,18,21290,89,0,5,3,0,1540,113.97,21,26,3,10,7,58,23,11,20,4,8,3,7,2,0,0,Budget-Conscious Explorers
39,23,22455,82,0,3,1,0,1517,101.62,27,40,0,15,99,156,49,19,1,9,4,4,13,2,1,0,Budget-Conscious Explorers
40,32,92744,16,0,3,4,1,354,87.28,3,73,11,3,609,0,204,6,5,87,3,0,2,1,1,0,Affluent Conservatives
41,45,97609,22,0,4,3,0,386,86.56,6,73,11,2,439,33,295,3,1,73,3,1,4,2,1,0,Affluent Conservatives
42,41,26314,23,0,4,3,0,421,69.36,1,94,6,1,9,40,17,21,2,3,0,0,4,1,0,0,Conservative Minimizers
43,47,97274,20,0,4,3,1,392,66.69,8,60,8,2,332,10,392,16,2,77,5,1,2,2,2,0,Affluent Conservatives
44,29,80717,97,1,4,6,1,1652,48.6,15,8,2,9,542,1,503,10,70,86,9,1,14,1,0,0,High-Value Trendsetters
45,53,24842,22,1,3,3,0,493,184.05,6,69,8,2,6,34,21,1,3,3,0,0,1,5,0,0,Conservative Minimizers
46,39,71741,81,0,4,3,0,1555,77.29,23,13,5,9,667,14,487,31,118,41,13,2,9,2,2,0,High-Value Trendsetters
47,29,86730,91,0,3,3,0,1748,84.54,23,0,6,6,645,81,388,146,27,89,7,3,11,1,1,0,High-Value Trendsetters
48,38,83787,91,0,3,1,1,1583,63.89,17,3,3,9,647,77,511,27,25,41,9,7,11,1,3,0,High-Value Trendsetters
49,44,90163,16,1,3,2,0,363,51.12,5,53,9,3,498,3,323,3,2,31,2,1,1,3,2,0,Affluent Conservatives
50,27,19988,30,1,5,3,0,488,85.15,1,77,7,3,25,2,16,11,3,5,2,0,2,4,0,0,Conservative Minimizers
51,33,28954,70,1,2,1,1,1576,74.24,14,4,2,12,39,6,29,6,4,10,6,1,4,2,0,0,Budget-Conscious Explorers
52,38,85001,13,1,3,2,0,389,77.42,8,57,11,3,385,8,211,1,12,95,4,1,4,2,2,0,Affluent Conservatives
53,25,27248,74,1,3,2,0,1449,75.64,19,11,2,3,85,27,37,17,13,8,4,1,9,2,0,0,Budget-Conscious Explorers
54,47,85848,22,0,4,1,1,407,64.89,5,49,8,1,271,1,337,8,4,109,1,1,3,0,0,0,Affluent Conservatives
55,32,96765,79,1,4,6,1,1579,72.82,24,6,8,6,629,47,547,49,18,122,7,2,6,2,3,0,High-Value Trendsetters
56,42,25687,20,1,5,2,1,419,101.22,5,82,6,1,25,6,40,5,4,2,0,0,3,0,1,0,Conservative Minimizers
57,23,15347,80,1,4,1,0,1537,89.36,26,36,2,12,63,16,24,40,5,10,13,5,9,2,0,0,Budget-Conscious Explorers
58,57,22736,20,0,4,4,0,463,102.57,4,75,6,3,31,16,17,31,1,0,4,1,2,1,0,0,Conservative Minimizers
59,20,27297,72,1,4,1,0,1608,121.51,14,8,2,11,92,62,60,1,32,8,4,3,5,1,1,0,Budget-Conscious Explorers
