CustomerID,Age,Income,EducationLevel,FamilySize,TotalSpend,AvgTransactionValue,HighValuePurchases,Frequency,Recency,Tenure,WebVisitsPerMonth,Wines,Fruits,Meat,Fish,Sweets,Gold,WebPurchases,CatalogPurchases,StorePurchases,DealsPurchased,CampaignsAccepted,Complains,Cluster,Persona
1,35,35580,2,2,39,9.46,0,1,85,5,1,8,1,21,4,0,3,0,0,1,1,0,0,1,💤 Inactive / At-Risk
2,44,38736,4,3,282,58.89,0,12,67,4,8,43,2,4,0,0,9,1,2,4,5,1,0,1,💤 Inactive / At-Risk
3,64,62177,3,2,383,35.65,2,13,64,5,4,146,52,230,47,16,28,5,3,4,0,0,0,1,💤 Inactive / At-Risk
4,30,56145,4,1,864,56.18,1,13,9,2,11,51,4,103,2,36,30,3,2,8,1,0,1,1,💤 Inactive / At-Risk
5,49,45195,5,2,916,59.14,1,5,40,5,2,150,6,151,42,16,27,2,1,3,0,0,0,1,💤 Inactive / At-Risk
6,65,72248,5,2,399,37.72,1,6,43,4,8,192,27,169,38,3,21,2,1,2,1,1,0,1,💤 Inactive / At-Risk
7,39,35806,4,1,597,36.59,3,15,40,0,7,56,55,90,38,13,60,3,2,8,2,1,0,1,💤 Inactive / At-Risk
8,71,24487,2,2,110,19.56,0,5,101,5,2,0,11,15,0,1,3,1,1,1,2,1,0,1,💤 Inactive / At-Risk
9,61,78981,4,3,1946,104.36,6,12,25,7,5,673,153,325,59,35,109,8,3,12,0,1,0,0,🏆 Premium Loyalists
10,64,57226,3,1,1017,156.14,5,8,36,4,4,250,53,43,49,1,33,4,1,2,0,0,0,1,💤 Inactive / At-Risk
11,34,84722,2,4,1400,49.42,5,17,13,10,6,721,97,475,9,39,52,6,3,8,0,0,0,0,🏆 Premium Loyalists
12,50,50260,1,1,953,62.0,2,6,37,6,4,229,119,112,29,32,12,2,0,5,1,0,0,1,💤 Inactive / At-Risk
13,28,39585,4,1,752,65.28,1,17,11,0,10,109,66,51,95,28,35,7,2,9,1,0,0,1,💤 Inactive / At-Risk
14,52,35127,3,3,195,42.82,0,6,51,2,7,21,21,3,0,9,6,2,0,2,2,0,0,1,💤 Inactive / At-Risk
15,23,45583,3,1,187,30.39,1,8,70,8,10,0,1,24,3,1,5,4,2,4,3,1,0,1,💤 Inactive / At-Risk
16,50,51832,3,4,1462,76.6,5,25,24,2,5,523,17,300,162,31,58,9,3,15,1,2,0,0,🏆 Premium Loyalists
17,44,29477,3,1,344,37.71,0,11,55,4,9,33,8,30,14,0,8,2,1,3,0,0,0,1,💤 Inactive / At-Risk
18,46,100876,3,2,1629,76.99,3,15,2,8,6,423,191,512,58,10,55,6,2,8,2,2,0,0,🏆 Premium Loyalists
19,52,63227,4,3,1083,173.78,6,6,13,9,2,233,79,129,40,56,21,4,1,12,2,0,0,1,💤 Inactive / At-Risk
20,40,60845,3,1,60,11.75,1,4,78,4,3,3,3,17,2,1,3,2,0,1,0,0,0,1,💤 Inactive / At-Risk
21,38,40293,2,1,246,246.0,2,13,51,5,8,37,4,33,3,2,0,4,2,5,1,0,0,1,💤 Inactive / At-Risk
22,46,62026,3,1,740,81.75,3,6,43,7,7,255,29,185,4,6,28,0,3,2,0,0,0,1,💤 Inactive / At-Risk
23,27,36645,4,2,48,20.94,0,3,85,6,2,12,5,22,1,1,2,1,0,1,1,1,0,1,💤 Inactive / At-Risk
24,32,36714,1,1,636,56.97,0,14,12,3,9,91,69,18,9,19,70,7,1,2,1,0,0,1,💤 Inactive / At-Risk
25,30,48462,5,2,60,30.75,0,4,93,7,2,4,3,17,3,3,1,2,1,2,1,0,0,1,💤 Inactive / At-Risk
26,42,103567,2,2,1834,83.64,10,18,28,8,6,346,200,469,14,137,78,4,4,10,0,0,0,0,🏆 Premium Loyalists
27,25,52309,3,2,364,20.49,4,20,23,2,9,42,11,105,25,11,47,4,1,1,0,1,0,1,💤 Inactive / At-Risk
28,20,47105,5,5,380,21.38,1,13,43,1,8,25,37,90,55,39,61,5,2,8,1,0,0,1,💤 Inactive / At-Risk
29,47,17710,5,1,89,8.37,1,5,63,6,6,0,2,24,48,33,10,5,2,3,1,0,0,1,💤 Inactive / At-Risk
30,41,94425,4,3,2541,148.91,5,19,9,6,2,587,12,272,45,12,94,6,3,12,0,2,0,0,🏆 Premium Loyalists
31,49,43140,4,1,291,40.22,0,1,32,3,10,6,20,43,4,0,10,3,0,3,1,0,0,1,💤 Inactive / At-Risk
32,28,45025,1,2,704,36.19,1,13,14,1,13,91,22,88,44,3,36,5,3,12,1,0,0,1,💤 Inactive / At-Risk
33,39,31750,5,6,135,10.43,1,5,65,3,4,55,23,37,0,3,0,0,3,8,1,0,0,1,💤 Inactive / At-Risk
34,24,60186,3,3,649,49.57,6,17,52,1,13,40,7,0,69,32,44,3,1,12,1,1,0,1,💤 Inactive / At-Risk
35,21,25253,2,2,784,42.68,2,11,35,2,12,8,74,50,33,20,50,2,0,11,1,1,0,1,💤 Inactive / At-Risk
36,31,48405,4,6,214,70.31,0,1,24,0,14,22,9,19,0,11,6,3,1,6,2,0,0,1,💤 Inactive / At-Risk
37,59,50176,5,2,808,98.71,4,8,60,5,5,178,6,159,33,6,36,2,3,8,2,0,0,1,💤 Inactive / At-Risk
38,41,70127,3,2,656,97.39,3,10,42,6,1,223,69,106,15,6,14,4,2,3,1,0,0,1,💤 Inactive / At-Risk
39,27,31701,4,1,123,14.6,2,13,31,0,8,21,58,42,40,0,49,6,3,3,1,0,0,1,💤 Inactive / At-Risk
40,26,90064,1,1,1429,79.89,5,11,6,7,2,754,60,356,11,152,49,14,3,9,0,2,0,0,🏆 Premium Loyalists
41,52,94680,3,2,1727,132.9,3,23,12,9,3,604,141,344,10,71,121,6,5,11,3,0,0,0,🏆 Premium Loyalists
42,59,45090,3,2,66,30.36,0,1,71,10,1,8,9,20,1,1,0,0,0,2,0,1,0,1,💤 Inactive / At-Risk
43,56,82664,4,1,1732,86.8,3,25,13,3,5,511,200,373,2,0,52,5,4,14,0,2,0,0,🏆 Premium Loyalists
44,38,36443,3,2,246,33.89,0,8,58,5,4,16,1,35,24,0,4,2,0,2,2,1,0,1,💤 Inactive / At-Risk
45,47,47616,3,3,683,65.94,3,8,37,3,1,254,16,166,14,34,18,3,1,4,1,0,0,1,💤 Inactive / At-Risk
46,24,21540,2,1,520,30.4,1,11,32,0,6,90,12,43,22,7,22,5,2,6,1,0,1,1,💤 Inactive / At-Risk
47,33,37409,3,2,288,22.89,0,4,55,1,0,33,11,41,8,10,9,3,0,5,4,1,0,1,💤 Inactive / At-Risk
48,29,35411,5,1,356,41.14,3,12,32,1,5,160,56,69,35,11,38,8,0,4,1,0,0,1,💤 Inactive / At-Risk
49,49,85367,2,1,1791,83.97,7,17,27,5,6,601,9,294,24,19,74,11,3,12,0,2,0,0,🏆 Premium Loyalists
50,55,57307,3,3,329,31.18,1,8,48,3,0,284,20,126,19,3,17,2,0,5,0,0,0,1,💤 Inactive / At-Risk
51,51,39855,4,3,769,118.59,2,8,0,7,6,226,21,100,68,13,40,2,2,6,1,0,0,1,💤 Inactive / At-Risk
52,37,81954,5,2,1372,70.52,5,18,19,5,7,859,39,439,161,195,37,6,6,8,0,1,0,0,🏆 Premium Loyalists
53,51,64704,3,1,795,83.55,3,13,57,5,3,154,53,12,9,18,24,5,0,8,0,0,0,1,💤 Inactive / At-Risk
54,56,81415,3,1,2053,113.82,6,19,16,7,8,469,200,435,6,12,47,5,4,11,2,1,0,0,🏆 Premium Loyalists
55,33,67526,5,2,605,42.15,1,13,51,3,6,135,45,70,33,27,36,3,1,6,1,2,0,1,💤 Inactive / At-Risk
56,30,46620,4,1,46,15.88,0,6,103,5,1,20,0,0,6,7,0,1,1,0,0,0,0,1,💤 Inactive / At-Risk
57,57,56815,4,2,171,20.05,5,11,68,5,5,80,12,105,10,0,18,6,2,7,2,0,0,1,💤 Inactive / At-Risk
58,68,68363,3,1,653,43.56,7,11,69,3,3,278,51,192,21,2,37,5,2,5,0,0,0,1,💤 Inactive / At-Risk
59,30,31660,4,1,333,42.09,3,8,35,1,7,83,37,66,19,35,70,2,0,9,1,0,0,1,💤 Inactive / At-Risk
60,35,30107,3,3,208,18.0,0,9,58,5,5,16,3,35,13,3,5,3,3,3,2,1,0,1,💤 Inactive / At-Risk
61,45,61094,4,2,540,56.43,1,12,39,2,4,317,111,126,24,21,13,10,1,1,2,1,0,1,💤 Inactive / At-Risk
62,33,40672,1,3,299,31.95,1,6,30,6,7,30,16,28,7,7,4,0,0,5,1,0,0,1,💤 Inactive / At-Risk
63,39,51127,3,3,819,42.62,1,12,25,3,4,212,46,190,36,2,0,3,3,3,0,1,0,1,💤 Inactive / At-Risk
64,33,45670,2,3,343,23.28,2,9,28,2,11,66,42,70,30,0,22,8,3,7,1,0,0,1,💤 Inactive / At-Risk
65,40,16397,4,1,44,8.83,0,3,94,9,2,2,2,27,0,1,5,0,0,0,1,0,0,1,💤 Inactive / At-Risk
66,30,67501,4,1,10,2.52,0,5,104,5,2,6,2,2,6,1,2,0,1,3,0,0,0,1,💤 Inactive / At-Risk
67,37,50839,4,1,362,16.66,2,17,37,3,12,80,10,17,38,43,0,6,3,5,0,0,0,1,💤 Inactive / At-Risk
68,42,87850,4,1,771,98.41,2,6,32,6,5,202,51,66,30,47,25,2,3,9,0,0,0,1,💤 Inactive / At-Risk
69,44,68130,3,2,2349,115.54,6,16,9,8,5,559,73,419,78,42,48,3,4,6,1,3,0,0,🏆 Premium Loyalists
70,57,42405,2,2,788,55.94,1,22,57,7,7,350,28,110,1,29,26,0,3,4,0,0,0,1,💤 Inactive / At-Risk
71,28,56484,3,1,724,81.15,3,7,31,7,5,352,171,178,4,4,20,3,1,7,1,0,0,1,💤 Inactive / At-Risk
72,20,31451,3,1,208,56.45,1,7,72,1,7,19,8,39,3,20,0,2,2,4,3,0,0,1,💤 Inactive / At-Risk
73,54,58766,3,3,1028,76.26,2,10,18,2,5,311,6,165,18,5,21,2,3,11,1,1,0,1,💤 Inactive / At-Risk
74,26,42133,4,4,764,94.36,2,12,9,0,8,67,2,122,22,32,23,4,3,3,0,2,0,1,💤 Inactive / At-Risk
75,31,32361,3,2,258,84.3,0,14,41,5,4,38,15,49,6,25,3,4,0,5,0,0,0,1,💤 Inactive / At-Risk
76,48,41984,4,3,259,37.02,1,9,35,3,4,26,3,4,2,0,6,1,0,2,1,1,0,1,💤 Inactive / At-Risk
77,42,44269,3,1,711,83.61,2,15,50,7,1,251,43,130,9,14,13,2,3,6,1,0,0,1,💤 Inactive / At-Risk
78,42,39701,3,2,268,19.2,2,13,41,5,11,53,0,62,0,7,2,2,1,1,1,0,0,1,💤 Inactive / At-Risk
79,31,47830,5,2,211,18.89,2,9,96,7,4,22,3,23,10,1,3,1,0,5,2,1,0,1,💤 Inactive / At-Risk
80,38,33459,4,3,41,12.05,3,2,95,9,1,9,9,0,4,10,2,1,0,1,2,0,0,1,💤 Inactive / At-Risk
81,37,73404,3,3,1691,72.57,11,24,8,7,7,710,200,650,268,20,80,8,5,12,0,1,0,0,🏆 Premium Loyalists
82,18,44254,3,2,435,46.28,1,16,43,0,8,86,51,15,3,44,21,8,2,3,1,0,0,1,💤 Inactive / At-Risk
83,58,55732,3,1,800,68.81,1,9,45,9,6,308,51,127,64,19,25,3,1,9,2,1,0,1,💤 Inactive / At-Risk
84,57,54231,5,6,792,132.57,1,6,22,4,4,293,19,47,2,29,11,1,2,4,2,0,0,1,💤 Inactive / At-Risk
85,49,44372,2,2,419,32.13,2,7,76,3,2,195,8,151,21,54,18,3,1,10,2,0,0,1,💤 Inactive / At-Risk
86,28,44288,3,1,722,105.28,2,13,47,2,4,316,16,62,2,1,15,7,0,4,1,0,0,1,💤 Inactive / At-Risk
87,34,34394,4,3,2,0.6,0,3,101,14,3,15,4,24,15,0,2,2,0,0,2,0,0,1,💤 Inactive / At-Risk
88,37,21318,4,4,324,34.69,0,7,50,4,10,51,8,63,2,13,8,5,2,1,2,0,0,1,💤 Inactive / At-Risk
89,52,78770,3,2,2478,87.93,8,25,6,9,8,460,4,420,23,116,77,10,3,8,0,2,0,0,🏆 Premium Loyalists
90,47,65443,3,1,734,129.9,3,13,23,4,2,145,30,118,19,6,11,6,0,7,0,1,0,1,💤 Inactive / At-Risk
91,43,45446,5,4,679,133.11,4,11,30,1,6,181,20,137,15,41,1,6,1,4,0,1,0,1,💤 Inactive / At-Risk
92,42,40991,4,1,72,72.0,0,1,73,6,1,32,2,9,10,1,3,0,0,0,0,0,0,1,💤 Inactive / At-Risk
93,51,89056,4,1,1940,104.17,5,32,16,9,7,677,23,417,73,44,71,10,2,19,2,2,0,0,🏆 Premium Loyalists
94,48,70318,1,4,1499,70.5,3,18,12,2,3,725,130,259,42,15,100,6,4,8,1,0,0,0,🏆 Premium Loyalists
95,41,29693,2,1,33,10.52,0,4,52,5,2,3,0,21,6,0,4,0,0,2,1,2,0,1,💤 Inactive / At-Risk
96,18,52089,4,2,50,15.14,0,4,91,10,2,10,4,33,8,0,2,0,0,0,2,0,0,1,💤 Inactive / At-Risk
97,35,41476,5,1,257,58.08,1,9,70,2,8,40,7,52,4,12,6,2,1,8,2,0,0,1,💤 Inactive / At-Risk
98,56,51811,4,1,400,66.64,1,7,7,10,4,332,33,201,42,22,18,3,1,6,0,1,0,1,💤 Inactive / At-Risk
